gene
RBL2
VDAC3
ACTN1
ATP2A1
SFRP1
NIPA2
MAN1B1
TSEN34
LRRC16A
CNBP
DDX55
FAM81A
NPHP4
MRPS25
MAEL
PROX1
ELOVL1
LILRA6
NR5A2
CDK10
TMEM182
ETV6
DNAJA2
ATOH7
LRFN1
MRPL12
COL6A3
C8orf31
RTTN
CD2BP2
SLMAP
NOV
MXD4
MUSTN1
TAS1R3
ITGAD
S100A5
SMARCC2
C1orf114
TMEM49
C1orf65
DNAH17
DAB1
SLBP
RFX5
TNNT2
LHX5
CASZ1
C3orf16
WFIKKN2
MEOX2
CKLF
TRANK1
ZFP36
SLC2A9
MXRA7
LOXL4
P2RX6P
SFRS7
CSMD2
EHMT1
AGPAT3
AGA
LDHD
C14orf181
SH2B3
MTMR7
MT1F
RSPO3
ANKRD11
TDRD6
WWP2
OR1F2P
SERPINB12
DOK7
SRCAP
FAM180B
MTHFD2L
HOXD3
GPHN
HMX2
C12orf44
TDRD10
OTOF
NHLH1
NUP210L
CCDC126
MTUS2
ZNF362
LHX6
RRS1
PTPRF
PACS2
ZNF77
LRRC16B
ZBTB7A
CACNA1A
C6orf168
ZNF358
SLC6A5
DSTYK
PANX1
ZNF581
FAM163A
PDE6D
TMEM188
APAF1
GFPT2
DIAPH3
ROD1
FAIM3
C3orf39
FAM190B
IMPA2
LRRC4B
DMRTB1
NRD1
OAZ1
SYT7
RIN2
DERA
AEBP1
PELI2
TTC8
DDX18
CDH8
CDK15
LOC121952
COL4A1
MEX3C
SH3RF3
MFSD3
RFX1
HECTD3
TMEM14C
BARHL2
KIAA1949
SHOX2
TIGD2
C16orf75
WNT6
YTHDF3
MLL2
RBM47
PAX9
LCE5A
NLRC3
PPP5C
IGFBP5
RNF222
H3F3B
TINAG
ARPC2
CABYR
FCGR1C
ARRDC4
GALNT9
KCNK17
GJB6
AVEN
SLC9A3R1
MUTED
FBF1
PRKCH
OR52B4
DCAF4L2
ST6GALNAC3
TRIM56
EPHA10
MED13
CCDC62
STC1
DYSF
RAB40B
DAZAP1
ASAP2
CACHD1
ARHGEF18
MAPK1
GYPC
KIAA1751
ESPN
OLFM1
T-SP1
TSSC1
MARCH5
KIF3A
PSCA
GADD45B
DPH2
USP14
CCNJ
THTPA
FLJ12825
TSPAN18
PARP10
MYEOV2
NRL
QRFPR
NPM1
STK38
ARHGAP15
DNAH11
KIF26A
ST8SIA3
ZFHX4
RAB5C
SLFNL1
CRAMP1L
MUT
KIDINS220
CAGE1
CNTNAP2
SLC5A2
C19orf69
RHOC
RER1
PGBD1
C14orf135
THRA
WIPF2
PLEC1
MAST3
OSM
ABO
DPP6
PTK2B
ZDHHC14
GRRP1
NKX6-2
ESCO1
TBR1
SH2B2
S100A3
CEP68
IQCE
HEXIM2
